epoch,elapsed_time,total_loss,l_pred,l_multi,l_var,l_sparse,l_probe,grad_norm,val_total_loss,val_l_pred,val_pos_err,val_vel_err,val_spike_rate
1,1.6199967861175537,0.3168291449546814,0.0300771942983071,0.1233287097265323,0.8510255416234335,0.0,0.2799700806538264,1.5006272551146487,0.26876144111156464,0.02762576099485159,0.380566269159317,0.7765941619873047,0.0
2,2.5890097618103027,0.28161119321982064,0.03728431214888891,0.23238370219866436,0.31568177938461306,0.0,0.1931337128082911,0.3473998286873602,0.3311794549226761,0.055612197145819664,0.17772337794303894,0.7339722514152527,0.0
3,3.5170459747314453,0.2902470171451569,0.04420818363626798,0.27080439726511635,0.20337503453095754,0.0,0.18059826691945394,0.24413560972827744,0.3206223249435425,0.05458047613501549,0.18820104002952576,0.7273178994655609,0.0
4,4.521862745285034,0.3276821335156759,0.058089882135391235,0.3406504154205322,0.10729733457167943,0.0,0.1770746111869812,0.23209567375323514,0.38525964319705963,0.08064967393875122,0.18567850440740585,0.7286966145038605,0.0
5,5.464233875274658,0.3584100703398387,0.07086980616052946,0.39127994775772096,0.0633780541519324,0.0,0.17112496594587961,0.25332421064338323,0.405694842338562,0.09363440424203873,0.20752283930778503,0.6863397061824799,0.0
6,6.407098770141602,0.37057482401529945,0.0915746753414472,0.4130372107028961,0.06589104135831197,0.0,0.1317848891019821,0.39222246848467057,0.35153424739837646,0.097951740026474,0.28277070820331573,0.5056810677051544,0.0
7,7.350931882858276,0.34021920561790464,0.09199143399794897,0.3445921043554942,0.2286701132853826,0.0,0.1061294083793958,1.287359370391665,0.33597610890865326,0.07618312537670135,0.30581051111221313,0.5334314703941345,0.0
8,8.243283987045288,0.32662232716878253,0.07956936831275623,0.3839584648609161,0.14434113254149755,0.0,0.08127922316392262,0.6216090116433667,0.41150037944316864,0.11450624465942383,0.20733367651700974,0.3885173797607422,0.0
9,9.165099859237671,0.38111337622006736,0.10434535344441732,0.4889909863471985,0.03762080743908882,0.0,0.057020897914965944,0.3495192653022287,0.4045146107673645,0.12310639396309853,0.19333283603191376,0.349083736538887,0.0
10,10.110232830047607,0.37826189001401267,0.10788973023494085,0.4838178277015686,0.03135338897506396,0.0,0.050655828913052876,0.399841979566265,0.42388540506362915,0.1400771290063858,0.19372550398111343,0.3509633392095566,0.0
11,10.990566730499268,0.37163760264714557,0.1119942992925644,0.4576870799064636,0.052348360419273376,0.0,0.051129861672719316,0.5386921489304852,0.3933617174625397,0.12664707750082016,0.22406885027885437,0.3156151622533798,0.0
12,11.950824975967407,0.3735845943291982,0.11489590257406235,0.4578279157479604,0.05133227792878946,0.0,0.04928300281365713,0.6650865197335567,0.3670089393854141,0.11773951351642609,0.21517585217952728,0.319871723651886,0.0
13,12.857284784317017,0.37115708986918133,0.11401091466347377,0.4526402235031128,0.06600992456078529,0.0,0.0484501322110494,0.9154700360048871,0.3803578019142151,0.11981192231178284,0.22538992762565613,0.3356318920850754,0.0
14,13.789384841918945,0.38900675376256305,0.12061894784371058,0.4804389258225759,0.03909103957315286,0.0,0.048518483589092894,1.0340543132084323,0.39330022037029266,0.12704364955425262,0.20503215491771698,0.31139780580997467,0.0
15,14.7328519821167,0.40737288594245913,0.1261921097834905,0.5056313474973043,0.03539069928228855,0.0,0.04965205788612366,0.8449711708297103,0.40719592571258545,0.1277363933622837,0.20063428580760956,0.29839420318603516,0.0
