epoch,elapsed_time,total_loss,l_pred,l_multi,l_var,l_sparse,l_probe,grad_norm,val_total_loss,val_l_pred,val_pos_err,val_vel_err,val_spike_rate
1,2.2144079208374023,0.31057878732681277,0.019062537125622232,0.08966825033227603,0.9856418569882711,0.0,0.2962358812491099,0.9984744742280057,0.24926268309354782,0.0017750945407897234,0.6662277579307556,0.7344490885734558,0.0
2,3.486534833908081,0.23317863742510478,0.002691165598419805,0.010018578016509612,0.9414061069488525,0.0,0.2626751353343328,0.1838417786773735,0.20219016820192337,0.0047549656592309475,0.343113973736763,0.7383129894733429,0.0
3,4.5549938678741455,0.1880265603462855,0.004801842477172613,0.0288751445710659,0.7099858721097311,0.0,0.19557711680730183,0.1945396704580747,0.1840161681175232,0.006726033519953489,0.2612636983394623,0.7146421372890472,0.0
4,5.619887828826904,0.19077898661295573,0.013171275643010934,0.10451076154907545,0.41301597555478414,0.0,0.16810146768887838,0.21435162186641374,0.21592393517494202,0.0211973013356328,0.2389969751238823,0.6560203731060028,0.0
5,6.747852087020874,0.22312230070432026,0.026597407460212708,0.20578718781471253,0.21316542824109394,0.0,0.14462951372067134,0.21814434450477485,0.2359423190355301,0.030831454321742058,0.20263732969760895,0.6025224924087524,0.0
6,7.789578914642334,0.23894005119800568,0.034817929938435556,0.2500947465499242,0.167897762854894,0.0,0.12456994454065959,0.22456296629483627,0.2499668151140213,0.0363900400698185,0.21192552894353867,0.5833790898323059,0.0
7,8.802660942077637,0.24554968376954397,0.039376553644736606,0.2725330611069997,0.15055128832658132,0.0,0.10970294078191122,0.2370778955453672,0.24918031692504883,0.039676815271377563,0.20262087881565094,0.511513888835907,0.0
8,9.825979948043823,0.2428840508063634,0.04248637060324351,0.28263550202051796,0.13423639982938768,0.0,0.091312575340271,0.19708344756159932,0.2541743963956833,0.04306994006037712,0.18804318457841873,0.47678984701633453,0.0
9,10.83889389038086,0.24213641087214152,0.04494128872950872,0.289470644791921,0.12947720438241958,0.0,0.07902416189511617,0.18559486640839148,0.2511507049202919,0.04502645879983902,0.17838936299085617,0.4295594245195389,0.0
10,11.851886749267578,0.23852428197860717,0.04564121017853419,0.2880501906077067,0.13172670751810073,0.0,0.07137060761451722,0.19569532313104995,0.2461373582482338,0.04539256729185581,0.20758984982967377,0.396532341837883,0.0
11,12.90349292755127,0.2289893647034963,0.04574349373579025,0.26895526349544524,0.15497478942076365,0.0,0.066541521747907,0.2048407731176852,0.24125923216342926,0.04919114522635937,0.2713737338781357,0.4077220559120178,0.0
12,13.930325031280518,0.2249469151099523,0.04752826169133186,0.25633970101674397,0.17195289929707844,0.0,0.0641070286432902,0.20845313942903643,0.24211882799863815,0.04840267077088356,0.2494540810585022,0.3856372535228729,0.0
13,14.952101945877075,0.22527559498945873,0.04803946763277054,0.25523326893647513,0.1748734970887502,0.0,0.06426428928971291,0.2914841299807359,0.22792621701955795,0.044225847348570824,0.23615145683288574,0.37223611772060394,0.0
14,15.981421709060669,0.22092788219451903,0.046778669704993565,0.24825196862220764,0.18651336034138996,0.0,0.06274379367629687,0.26047665729274916,0.23278287053108215,0.046768544241786,0.2696226090192795,0.346655935049057,0.0
15,17.069507837295532,0.21919825673103333,0.04672561263044675,0.2548220326503118,0.1708697607119878,0.0,0.05594930648803711,0.22898538952145395,0.2271934151649475,0.04568042419850826,0.2892650365829468,0.34353207051754,0.0
