epoch,elapsed_time,total_loss,l_pred,l_multi,l_var,l_sparse,l_probe,grad_norm,val_total_loss,val_l_pred,val_pos_err,val_vel_err,val_spike_rate
1,2.6586270332336426,0.7859986662864685,0.33624873161315916,0.48788644274075826,0.49876845280329385,0.07372106040517488,0.31171231865882876,2.8983174013636517,0.4038976728916168,0.11662619560956955,0.6856544315814972,0.736456960439682,0.08419153094291687
2,4.670047998428345,0.3342940370241801,0.07278894111514092,0.07269758706291517,0.7420515815416971,0.08176058729489645,0.3017387568950653,0.4410893258900176,0.2908775061368942,0.04484816640615463,0.6814785897731781,0.7386960685253143,0.07809953391551971
3,6.62760329246521,0.2796495258808136,0.0369355957955122,0.03065852609773477,0.7772053003311157,0.07934575378894806,0.2991695761680603,0.3082908040087054,0.26951467990875244,0.03207465261220932,0.6772826910018921,0.7367810308933258,0.07820120826363564
4,8.583644151687622,0.2646312793095907,0.02753450026114782,0.022365698839227358,0.7667459885279337,0.0797110582391421,0.2983192284901937,0.27138194763090007,0.2578234374523163,0.024397611618041992,0.669704407453537,0.7463334500789642,0.07952634617686272
5,10.541905164718628,0.24796046515305836,0.023115243514378866,0.018799173831939697,0.7320381085077922,0.07586295306682586,0.2843319217363993,0.2572672323692212,0.2330634817481041,0.023838515393435955,0.5494923293590546,0.7431735098361969,0.07487903907895088
6,12.497775077819824,0.2274902234474818,0.03833050777514776,0.04502666381498178,0.5924659689267476,0.08916677981615066,0.21462123493353527,0.23400671914400292,0.24473199993371964,0.05228218622505665,0.3138038069009781,0.7331852316856384,0.10008261352777481
7,14.435620069503784,0.24086700677871703,0.052721479038397474,0.09767926434675853,0.45615579883257545,0.1082756444811821,0.18716407616933187,0.20910858916518058,0.2516641989350319,0.05580396391451359,0.25433349609375,0.7184891402721405,0.10626440495252609
8,16.413108110427856,0.2635141432285309,0.06203408092260361,0.15747437725464503,0.3415868679682414,0.11020519137382508,0.17694796820481618,0.24724626103844116,0.27791233360767365,0.06688135862350464,0.24906721711158752,0.6986238360404968,0.10493745654821396
9,18.358748197555542,0.2876752515633901,0.0701005627711614,0.2142692079146703,0.25607730050881705,0.1083096315463384,0.16944809357325236,0.3417111229448894,0.30766402184963226,0.07540643587708473,0.266576424241066,0.6811314225196838,0.10129254683852196
10,20.302746057510376,0.3003490507602692,0.07555538912614186,0.2530262480179469,0.2090467780828476,0.10303771495819092,0.15454564690589906,0.3781376678647656,0.2975060045719147,0.07360350713133812,0.24296925961971283,0.6173115968704224,0.10348321869969368
11,22.24857211112976,0.29978496034940083,0.07640140354633332,0.2766598174969355,0.17086843152840933,0.1054372544089953,0.13572273403406143,0.4048787222391049,0.3062661439180374,0.08023141324520111,0.22381183505058289,0.5505896806716919,0.09766193479299545
12,24.184813022613525,0.2996040403842926,0.08204167187213898,0.29214189847310384,0.1509988526503245,0.10491079439719518,0.1125732551018397,0.5073448026680717,0.3064316660165787,0.08609257265925407,0.2480594962835312,0.5029813200235367,0.10418963432312012
13,26.118682146072388,0.29915369947751363,0.08790988872448603,0.3035864452521006,0.1434428741534551,0.10946678022543589,0.08999367455641429,0.5909628551105157,0.3078726828098297,0.09023528918623924,0.2674686759710312,0.43948617577552795,0.10817010700702667
14,28.062922954559326,0.299167795976003,0.08901976744333903,0.3076540152231852,0.13114664604266485,0.12059511144955953,0.08617152671019236,0.4400369186699905,0.30436038970947266,0.08938036859035492,0.2860005795955658,0.4141794294118881,0.12443582713603973
15,30.004531145095825,0.3189374566078186,0.09770836631457011,0.32142319877942405,0.11440730442603429,0.13723988632361095,0.09787905563910802,0.5963662826166934,0.33910517394542694,0.10457685217261314,0.3562861531972885,0.49347682297229767,0.13253245502710342
