epoch,elapsed_time,total_loss,l_pred,l_probe,spike_rate,val_total_loss,val_l_pred,val_pos_err,val_vel_err,val_spike_rate
1,3.167335271835327,3.701566457748413,3.701566457748413,0.440065860748291,0.12270833551883698,2.927431344985962,2.927431344985962,0.7182449102401733,1.0155541896820068,0.11041666567325592
2,4.464615106582642,2.927431344985962,2.927431344985962,0.46694067120552063,0.11041666567325592,3.2077977657318115,3.2077977657318115,0.7230725288391113,0.9264196753501892,0.13697916269302368
3,5.714481353759766,3.2077977657318115,3.2077977657318115,0.3982560336589813,0.13697916269302368,5.8526740074157715,5.8526740074157715,0.7165437340736389,0.9391741752624512,0.12729166448116302
4,7.531655550003052,5.8526740074157715,5.8526740074157715,0.40573230385780334,0.12729166448116302,4.4280781745910645,4.4280781745910645,0.7132046818733215,0.9610518217086792,0.14791665971279144
5,8.683106899261475,4.4280781745910645,4.4280781745910645,0.41275638341903687,0.14791665971279144,3.7927000522613525,3.7927000522613525,0.7377455830574036,0.9607248902320862,0.13729166984558105
6,9.612064361572266,3.7927000522613525,3.7927000522613525,0.42480742931365967,0.13729166984558105,5.42272424697876,5.42272424697876,0.7602598071098328,0.9812607765197754,0.19114583730697632
7,10.722487449645996,5.42272424697876,5.42272424697876,0.45163580775260925,0.19114583730697632,5.621214866638184,5.621214866638184,0.7300125956535339,0.9737049341201782,0.1509374976158142
8,12.092430114746094,5.621214866638184,5.621214866638184,0.4306214451789856,0.1509374976158142,5.792147159576416,5.792147159576416,0.7226759195327759,0.9324120283126831,0.20031249523162842
9,14.365811347961426,5.792147159576416,5.792147159576416,0.40221038460731506,0.20031249523162842,4.924384593963623,4.924384593963623,0.7284343242645264,0.953991174697876,0.1783333271741867
10,17.317314863204956,4.924384593963623,4.924384593963623,0.4202936887741089,0.1783333271741867,6.102317810058594,6.102317810058594,0.7142813205718994,0.940102756023407,0.16520832479000092
11,20.77722454071045,6.102317810058594,6.102317810058594,0.40568846464157104,0.16520832479000092,5.008450984954834,5.008450984954834,0.7185190916061401,0.9611241817474365,0.19031250476837158
12,22.14627766609192,5.008450984954834,5.008450984954834,0.4174744486808777,0.19031250476837158,6.216671466827393,6.216671466827393,0.7195794582366943,0.9456228613853455,0.18718750774860382
13,23.225093364715576,6.216671466827393,6.216671466827393,0.41122984886169434,0.18718750774860382,4.349343776702881,4.349343776702881,0.7130110859870911,0.9390111565589905,0.2148958295583725
14,24.573060512542725,4.349343776702881,4.349343776702881,0.4024144113063812,0.2148958295583725,6.076447486877441,6.076447486877441,0.7181136012077332,0.9356058835983276,0.1940625011920929
15,26.46769690513611,6.076447486877441,6.076447486877441,0.40571385622024536,0.1940625011920929,5.939996242523193,5.939996242523193,0.716727614402771,0.953143298625946,0.1731249988079071
