epoch,elapsed_time,total_loss,l_pred,l_probe,spike_rate,grad_norm,val_total_loss,val_l_pred,val_pos_err,val_vel_err,val_spike_rate
1,3.628412961959839,0.8480385065078735,0.8480385065078735,0.3057530204455058,0.3048020799954732,0.3919119758415036,0.6211409568786621,0.6211409568786621,0.6926658451557159,0.7356674671173096,0.3044270873069763
2,7.082021951675415,2.9982330640157064,2.9982330640157064,0.30573307871818545,0.30473957657814027,1.183965601628491,2.7740100622177124,2.7740100622177124,0.6930387020111084,0.7357802391052246,0.3058333396911621
3,10.461153984069824,3.002050828933716,3.002050828933716,0.3057301561037699,0.3057083268960317,0.7996887125812161,2.837524175643921,2.837524175643921,0.6923998296260834,0.7357375621795654,0.306744784116745
4,13.644856691360474,2.656128970781962,2.656128970781962,0.30573861400286356,0.3089131911595662,0.8537363447481766,2.2209655046463013,2.2209655046463013,0.6928964555263519,0.735638439655304,0.3129948079586029
5,16.783710956573486,2.4864975134531657,2.4864975134531657,0.30577582915623985,0.31102951765060427,0.7681356255236703,1.5680747628211975,1.5680747628211975,0.6933062374591827,0.7354701459407806,0.3153125047683716
6,20.016762733459473,2.344686762491862,2.344686762491862,0.30569681922594705,0.31149132053057355,0.6390042440849356,2.1262391805648804,2.1262391805648804,0.6924647986888885,0.7357478439807892,0.2982812523841858
7,23.170116901397705,2.297733251253764,2.297733251253764,0.30573669672012327,0.3113142410914103,0.9420065404459214,3.24355685710907,3.24355685710907,0.6922512948513031,0.7358397543430328,0.29809895157814026
8,26.340522050857544,1.4493196249008178,1.4493196249008178,0.3057421425978343,0.3162881970405579,0.4218137037823908,1.198997139930725,1.198997139930725,0.6930861473083496,0.7355977892875671,0.3180468678474426
9,29.448967933654785,0.9425097862879436,0.9425097862879436,0.3057111124197642,0.31737326383590697,0.2542297030372235,0.5686445236206055,0.5686445236206055,0.692703515291214,0.7358032763004303,0.3166666626930237
10,32.56318378448486,2.3826385507980983,2.3826385507980983,0.30569296280543007,0.3118263880411784,0.926145533809904,2.168182134628296,2.168182134628296,0.6923517286777496,0.7356677651405334,0.314348965883255
11,35.64138388633728,2.944364134470622,2.944364134470622,0.30571279327074685,0.31178645888964335,1.2144894912567301,2.211482882499695,2.211482882499695,0.6930802166461945,0.735542893409729,0.314348965883255
12,38.72454500198364,2.404644513130188,2.404644513130188,0.3057162404060364,0.31354514161745706,0.7583010054659098,3.5214998722076416,3.5214998722076416,0.6924600899219513,0.7358865737915039,0.3110416829586029
13,41.81392693519592,2.6247301499048867,2.6247301499048867,0.30567633310953773,0.31209201614061993,0.867985550108521,2.238889217376709,2.238889217376709,0.6926186084747314,0.7355370819568634,0.31148436665534973
14,44.91129279136658,2.442978795369466,2.442978795369466,0.30570034782091776,0.31063194274902345,0.6778364768639827,1.998372495174408,1.998372495174408,0.6926954388618469,0.7355484664440155,0.3123437464237213
15,48.03451991081238,2.6871431827545167,2.6871431827545167,0.30568920175234476,0.3111388862133026,0.777217676960087,1.4586330652236938,1.4586330652236938,0.6923010051250458,0.7358230650424957,0.3169531226158142
16,51.13668894767761,1.6732800563176473,1.6732800563176473,0.3057120442390442,0.3151319444179535,0.6304898317961488,1.8280303478240967,1.8280303478240967,0.6927849352359772,0.7357988953590393,0.31351563334465027
17,54.29201102256775,2.14956427415212,2.14956427415212,0.30568562150001527,0.3130225698153178,1.0140165162660801,1.195371389389038,1.195371389389038,0.6932054758071899,0.7355236113071442,0.31638020277023315
18,57.394366979599,2.0305739283561706,2.0305739283561706,0.30566153327624,0.3125347177187602,0.7474425215196485,1.0693905353546143,1.0693905353546143,0.6927129626274109,0.7355616688728333,0.31697916984558105
19,60.47719097137451,1.6418056766192117,1.6418056766192117,0.3056808610757192,0.31463715036710105,0.7655667879269459,1.2109323740005493,1.2109323740005493,0.6925138533115387,0.7357550859451294,0.3161458373069763
20,63.58264493942261,1.9291049679120382,1.9291049679120382,0.3057176132996877,0.31288020610809325,0.9260173100357254,1.6723817586898804,1.6723817586898804,0.6926339864730835,0.7356111109256744,0.31458333134651184
21,66.72108387947083,2.7167556246121722,2.7167556246121722,0.3057389338811239,0.3090468724568685,1.026924465833387,2.561555862426758,2.561555862426758,0.693458080291748,0.7357644140720367,0.300677090883255
22,69.81295204162598,3.5631129582722982,3.5631129582722982,0.30576526125272113,0.30299999515215553,1.0996774996242797,3.0449329614639282,3.0449329614639282,0.6925508081912994,0.7356862425804138,0.30041664838790894
23,72.91609692573547,3.0002668857574464,3.0002668857574464,0.3057508150736491,0.3017430504163106,1.2616147919635599,1.7911078333854675,1.7911078333854675,0.6930437684059143,0.7354632914066315,0.30161458253860474
24,76.00378966331482,2.0933154503504436,2.0933154503504436,0.305700542529424,0.3019982596238454,1.107386090424067,3.566847085952759,3.566847085952759,0.6928128302097321,0.7357111871242523,0.30385416746139526
25,79.1254677772522,2.5292659203211465,2.5292659203211465,0.3057130992412567,0.3024236043294271,1.2777192367201982,2.9479501247406006,2.9479501247406006,0.6928790211677551,0.7358932197093964,0.3016926944255829
